imdb_id,title,Comment
tt0866439,Made of Honor,movie was fetched and saved,already exists in database
tt2446980,Joy,movie was fetched and saved,already exists in database
tt0375679,Crash,movie was fetched and saved,already exists in database
tt0416320,Match Point,movie was fetched and saved,already exists in database
tt0926129,Prom Night,movie was fetched and saved,already exists in database
tt0429493,The A-Team,movie was fetched and saved,already exists in database
tt0452608,Death Race,movie was fetched and saved,already exists in database
tt0349825,Miracle,movie was fetched and saved,already exists in database
tt0840361,The Town,movie was fetched and saved,already exists in database
tt0410297,The Lake House,movie was fetched and saved,already exists in database
tt2268016,Magic Mike XXL,movie was fetched and saved,already exists in database
tt2209418,Before Midnight,movie was fetched and saved,already exists in database
tt2114504,Woody Woodpecker,movie was fetched and saved,already exists in database
tt2582498,Sweet Virginia,movie was fetched and saved,already exists in database
tt2570858,The Duke of Burgundy,movie was fetched and saved,already exists in database
tt1222817,Zookeeper,movie was fetched and saved,already exists in database
tt3387648,The Taking of Deborah Logan,movie was fetched and saved,already exists in database
tt5751998,Small Town Crime,movie was fetched and saved,already exists in database
tt0469903,The Express,movie was fetched and saved,already exists in database
tt0491175,Suburbicon,movie was fetched and saved,already exists in database
tt4263482,The Witch,movie was fetched and saved,already exists in database
tt3393786,Jack Reacher: Never Go Back,movie was fetched and saved,already exists in database
tt4695012,It Comes at Night,movie was fetched and saved,already exists in database
tt3266284,November Criminals,movie was fetched and saved,already exists in database
tt2537176,I Spit on Your Grave 2,movie was fetched and saved,already exists in database
tt0345543,The Land Before Time IX: Journey to Big Water,movie was fetched and saved,already exists in database
tt0100802,Total Recall,movie was fetched and saved,already exists in database
tt0286106,Signs,movie was fetched and saved,already exists in database
tt1441326,Martha Marcy May Marlene,movie was fetched and saved,already exists in database
tt1654523,Night Train to Lisbon,movie was fetched and saved,already exists in database
tt1282140,Easy A,movie was fetched and saved,already exists in database
tt0451079,Horton Hears a Who!,movie was fetched and saved,already exists in database
tt1438254,Charlie St. Cloud,movie was fetched and saved,already exists in database
tt0472033,9,movie was fetched and saved,already exists in database
tt5548284,Lego Scooby-Doo!: Haunted Hollywood,movie was fetched and saved,already exists in database
tt1764183,Arbitrage,movie was fetched and saved,already exists in database
tt0296042,Ichi the Killer,movie was fetched and saved,already exists in database
tt3139072,Son of Batman,movie was fetched and saved,already exists in database
tt3874544,The Boss Baby,movie was fetched and saved,already exists in database
tt0274558,The Hours,movie was fetched and saved,already exists in database
tt0342258,Unleashed,movie was fetched and saved,already exists in database
tt1825157,The Double,movie was fetched and saved,already exists in database
tt0804497,It's Kind of a Funny Story,movie was fetched and saved,already exists in database
tt0449088,Pirates of the Caribbean: At World's End,movie was fetched and saved,already exists in database
tt1790809,Pirates of the Caribbean: Dead Men Tell No Tales,movie was fetched and saved,already exists in database
tt0964516,Fashion,movie was fetched and saved,already exists in database
tt6063050,Acrimony,movie was fetched and saved,already exists in database
